序号,一级分类,二级分类,素材名,图片数,介绍
11,服饰类,王室贵族服饰,赤罗纱地上衣,1,"　　赤罗纱地上衣是琉球王室贵族的夏季礼服，以红色罗纱为面料制成。罗纱是一种轻薄透气的丝织物，经纬线交织形成规则的孔眼，具有良好的透气性，非常适合冲绳炎热的夏季穿着。
　　红色在琉球服饰等级中是王室与高级贵族的专属色，这件赤罗纱地上衣应为王室成员或高级士族的夏季礼服。其形制为交领右衽、宽袖大身的上衣样式，衣长及腰，下配裙裳，是琉球贵族正装的基本形制。罗纱织物的织造工艺复杂，需在织机上精心控制经纬线的交织密度，形成均匀的孔眼结构，同时保持织物的强度与垂感。
　　琉球的丝织业受中国与日本影响，王国时期设有专门的织造机构，为王室与贵族生产高级丝织物。这件赤罗纱地上衣体现了琉球贵族服饰在实用性与礼仪性之间的完美平衡，是研究琉球夏季服饰与丝织工艺的重要实物。"
12,服饰类,王室贵族服饰,金铜云龙文簪,2,"　　金铜云龙文簪是琉球闻得大君（琉球王国最高等级的女性祭司，由国王的姐妹或女儿担任）的专属发饰，以金铜合金制成，簪头雕刻云龙纹样，属重要文化财。闻得大君在琉球王国的神政合一政治体制中占有极为重要的地位，是琉球最高宗教领袖，主持国家最重要的祭祀仪式，其服饰与配饰的等级仅次于国王。
　　金铜合金在琉球工艺中常用于高级礼器与贵族配饰，金色象征神圣与尊贵。云龙纹样是王权与神权的双重象征，龙代表国王的权威，云代表天界与神圣领域，二者组合寓意闻得大君沟通人神、代天行事的宗教职能。
　　这件金簪的制作工艺精湛，云龙纹样雕刻细腻生动，龙鳞与云纹均清晰可辨，是琉球金工艺术的代表作，也是研究琉球神政合一政治制度与女性祭司文化的珍贵实物资料。"
13,服饰类,王室贵族服饰,両天伞,1,"　　両天伞是琉球王室仪式中使用的礼仪用伞，是国王出行与重要典礼时的仪仗之一。「両天」意为「两天」或「双重天盖」，指伞面有两层结构，象征国王的权威如天盖般庇护万民。
　　琉球王室的仪仗制度深受中国明代宫廷制度影响，伞、扇、幡等仪仗器物是区分等级的重要标志。両天伞的伞面多以高级丝织物制成，饰有金泥纹样或红型染纹样，伞柄以黑漆或朱漆涂抹，部分还镶嵌螺钿装饰。在琉球王国的重要仪式中，如国王即位、册封使迎接、新年朝贺等，両天伞与其他仪仗器物共同组成庄严的仪仗队伍，彰显王室的威严与等级秩序。
　　琉球灭亡后，両天伞等王室仪仗器物多散佚，现存实物极为珍贵，是研究琉球王国宫廷礼仪与仪仗制度的重要实物资料，体现了中琉文化交流在政治制度层面的深远影响。"
14,服饰类,王室贵族服饰,琉球头巾,1,"　　琉球头巾是琉球王室贵族与士族男性的传统头饰，以布帛缠裹头部而成，是琉球服饰文化中极具特色的组成部分。琉球男性的头饰制度有严格的等级区分，不同身份、不同场合佩戴不同样式的头巾。
　　国王佩戴玉冠或皮弁冠，高级贵族佩戴八卷（以彩色布帛缠首），一般士族则佩戴较简单的头巾。琉球头巾的缠裹方式独特，将布帛折叠后从额前绕至脑后，在头顶或侧面打结，形成独特的造型。头巾的材质与颜色也有等级区分，高级贵族用缎子、罗等高级丝织物，颜色多为红、紫、黄等尊贵色；士族用棉、麻等普通面料，颜色多为蓝、黑、白等。
　　琉球头巾文化受中国明代巾帽制度与日本本土乌帽子文化的双重影响，融合发展出独特的琉球样式，是研究琉球社会等级制度与服饰文化的重要实物资料。"
15,服饰类,王室贵族服饰,神扇,1,"　　神扇是琉球王室宗教仪式中使用的礼仪用扇，是闻得大君与高级祭司在祭祀仪式中手持的重要法器。琉球王国是神政合一的国家，国王同时是最高祭司，闻得大君是女性最高祭司，在重要的国家祭祀中，祭司们手持神扇，配合舞蹈与咒文，沟通人神，祈求国泰民安、风调雨顺。
　　其形制与普通折扇不同，多为单面扇或团扇，扇面以高级纸或丝织物制成，饰有金泥绘的神纹、云纹、花卉纹等神圣纹样，扇柄以黑漆或朱漆涂抹，部分还镶嵌螺钿。神扇在琉球宗教文化中具有神圣的象征意义，代表着祭司的神权与沟通天界的能力，是仪式中不可或缺的法器。
　　琉球灭亡后，神扇等宗教法器多散佚，现存实物极为珍贵，是研究琉球本土宗教（琉球神道）与祭祀文化的重要实物资料，体现了琉球独特的神政合一文化传统。"
16,服饰类,王室贵族服饰,王子冠,1,"　　王子冠是琉球国王子（按司）的专属冠帽，是琉球王室服饰等级制度的重要组成部分。琉球王国的冠帽制度有严格的等级区分，国王佩戴玉冠（王冠），王子与高级贵族佩戴王子冠，一般士族官员佩戴皮弁冠或船型官帽，平民则以布帛缠首。
　　其形制受中国明代冠帽制度影响较深，多以硬木或竹篾为胎，外裱黑纱或缎子，冠顶饰有金、银或珠玉，冠两侧有缨带系于颌下。王子冠的装饰规格仅次于国王的玉冠，体现了王子作为王位继承人的尊贵地位。在琉球王国的重要典礼中，如国王即位、新年朝贺、册封使迎接等，王子按规定佩戴王子冠，身着相应等级的礼服，参与仪式。
　　琉球灭亡后，王子冠等王室冠帽多散佚，现存实物极为珍贵，是研究琉球王国服饰等级制度与宫廷礼仪的重要实物资料，反映了中琉文化交流在服饰制度层面的深远影响。"
17,服饰类,王室贵族服饰,玉冠（付簪）,3,"　　玉冠是琉球国王的王冠，又称「御冠」，是琉球王国最高权力的象征，附带有数支金簪（付簪）用于固定。玉冠的形制受中国明代帝王冠冕制度影响，以金、银、玉、珠等珍贵材料制成，冠顶饰有金制龙纹或火焰纹，冠周垂挂珠玉流苏，极为华丽尊贵。
　　琉球国王在即位大典、册封仪式、新年朝贺等最重要的国家典礼中佩戴玉冠，身着龙袍，象征王权天授、君临万国。玉冠附带的金簪（付簪）不仅用于固定冠体，本身也是重要的礼器，簪头雕刻龙纹、云纹等神圣纹样，工艺精湛。琉球王国历史上，玉冠曾多次因战乱与火灾而损毁，现存玉冠多为后世复原或传世实物。
　　玉冠是琉球王国王权与国家统一的最重要象征物，也是研究中琉册封关系、琉球宫廷礼仪与金工工艺的珍贵实物资料，具有极高的历史与艺术价值。"
18,服饰类,舞踊专用服饰,裙カカン,1,"　　裙カカン（かかん）是琉球传统舞踊（诸踊）中女性舞者穿着的专用下裳，是琉球舞踊服饰的标志性组成部分。「カカン」一词源于琉球方言，指一种围裹式的长裙，穿着时将布帛围于腰间，在身前或侧面打结，裙长及地，行走时摇曳生姿，极具舞蹈美感。
　　琉球舞踊是琉球王国宫廷艺术的重要组成部分，是在册封使迎接仪式、国王宴会等重要场合表演的宫廷舞蹈，后逐渐流传至民间。カカン的面料多为高级红型染织物，饰有花卉、瑞云等吉祥纹样，色彩鲜艳华丽，与舞踊的优雅舞姿相得益彰。カカン的穿着方式独特，需配合特定的内衣与腰带，形成层次丰富的视觉效果。
　　琉球舞踊服饰融合了中国、日本与东南亚的服饰元素，发展出独特的琉球风格，カカン作为其中最具代表性的服饰部件，是研究琉球宫廷艺术与服饰文化的重要实物资料。"
19,建筑类,其他古城与园林,今归仁城,2,"　　今归仁城是琉球王国时期北山王国的都城遗址，位于冲绳县今归仁村，是琉球世界遗产「琉球王国的城堡以及相关遗产群」的组成部分之一。今归仁城始建于13世纪，是琉球三山时代北山王国的政治中心，1416年被中山王国尚巴志王攻灭后，成为琉球王国北部的重要军事据点。
　　城址建于海拔约100米的石灰岩台地上，以琉球石灰岩砌筑的石垣为主要防御工事，石垣曲线优美，是琉球城郭建筑的代表作。城内建有御庭、正殿、府邸等建筑遗址，出土了大量中国瓷器、漆器等贸易品，反映了当时北山王国与中国、东南亚的繁荣贸易。今归仁城也是著名的樱花观赏地，每年1月下旬至2月上旬，城内的寒绯樱盛开，与古老的石垣相映成趣。
　　今归仁城遗址是研究琉球三山时代历史与城郭建筑的重要考古遗址，具有极高的历史与学术价值。"
20,建筑类,其他古城与园林,久米至圣庙,3,"　　久米至圣庙是琉球王国时期祭祀孔子的孔庙，位于那霸市久米村，是琉球儒学教育的重要场所。久米村是琉球王国的华人聚居地，1392年明太祖朱元璋派遣闽人三十六姓移居琉球，他们聚居在久米村，世代担任琉球王国的外交、翻译、航海、文教等重要职务，将中国文化与制度传入琉球。
　　至圣庙始建于1671年，由久米村的华裔学者发起修建，供奉孔子与四配（颜回、曾参、子思、孟子），是琉球王国举行祭孔仪式的场所。庙内附设明伦堂，是琉球王国的最高学府，教授儒学经典、汉语、书法、算术等课程，培养了大批琉球的儒家学者与官僚。久米至圣庙在冲绳战役中被毁，后于1975年复原重建。
　　至圣庙是中琉文化交流的重要见证，反映了儒学在琉球的传播与影响，也是研究琉球教育史与中琉关系史的重要文化遗产。"
21,建筑类,其他古城与园林,圆觉寺放生桥,1,"　　圆觉寺放生桥是琉球王国时期圆觉寺的附属建筑，位于首里城附近，是琉球佛教建筑的重要遗存。圆觉寺是琉球王国的皇家寺院，1494年由尚真王下令修建，是琉球王国规模最大、地位最高的佛教寺院，历代国王的葬礼与祭祀仪式多在此举行。
　　放生桥是圆觉寺放生池上的石拱桥，以琉球石灰岩砌筑，桥身呈优美的弧形，是琉球石造建筑的精品。放生池是佛教寺院的常见设施，用于放生鱼类等水生生物，体现佛教的慈悲不杀思想。圆觉寺在冲绳战役中几乎完全被毁，仅存放生桥、放生池、龙渊桥等少数石造建筑遗存。
　　圆觉寺放生桥是研究琉球佛教建筑与石造工艺的重要实物资料，反映了中国佛教建筑文化对琉球的深远影响，也是首里城周边重要的历史文化景观，与圆鉴池、龙渊桥等共同构成了琉球皇家寺院园林的遗构。"
22,建筑类,其他古城与园林,中城城,1,"　　中城城是琉球王国时期的重要城郭遗址，位于冲绳县中头郡中城村，是琉球世界遗产「琉球王国的城堡以及相关遗产群」的组成部分之一。中城城始建于14世纪，是琉球三山时代中山王国的重要军事据点，也是琉球王国时期护持首里城的北方屏障。
　　城址建于海拔约160米的丘陵上，利用天然的地形优势，以琉球石灰岩砌筑的多层曲弧石垣为主要防御工事，是琉球城郭建筑中保存最为完整的遗址之一。中城城的石垣采用「野面积み」（乱石砌）与「布积み」（规整砌）相结合的技法，曲线优美，工艺精湛，被认为是琉球城郭石垣建筑的最高杰作。城内建有御庭、正殿、府邸、粮仓等建筑遗址，出土了大量中国瓷器、武器等文物。
　　中城城是研究琉球城郭建筑技术与军事防御体系的重要考古遗址，也是冲绳著名的历史观光景点，每年吸引大量游客前来参观。"
23,建筑类,识名园,六角堂,2,"　　六角堂是琉球王国皇家园林识名园内的重要建筑，位于那霸市识名，是琉球世界遗产「琉球王国的城堡以及相关遗产群」的组成部分之一。识名园是琉球王国的王家别邸与离宫，始建于1799年，是国王与王室成员休憩、接待册封使的场所。
　　六角堂位于识名园的心字池畔，是一座六角形的攒尖顶亭阁，建筑风格融合了中国江南园林建筑与琉球本土建筑特色。六角堂以朱漆涂抹的木柱支撑，屋顶铺以琉球赤瓦，造型轻盈雅致，是园内最佳的观景建筑，可俯瞰心字池全景与周边的园林景观。六角堂在冲绳战役中被毁，后于1970年代复原重建。
　　识名园是琉球王国唯一留存的皇家园林，融合了中国园林、日本园林与琉球本土的造园艺术，六角堂作为园内的标志性建筑，是研究琉球皇家园林建筑与中琉文化交流的重要实物资料。"
24,建筑类,识名园,石拱桥,1,"　　石拱桥是琉球王国皇家园林识名园内的重要景观建筑，横跨于心字池之上，是琉球石造建筑与园林艺术的代表作之一。识名园是琉球王国的王家离宫，始建于1799年，是国王休憩与接待中国册封使的场所。
　　园内的心字池是人工开凿的池塘，因平面形状酷似汉字「心」而得名，是识名园的核心景观。石拱桥以琉球石灰岩砌筑，桥身呈优美的弧形，横跨于心字池的狭窄处，连接池的两岸，是园内重要的交通与景观建筑。石拱桥的砌筑工艺精湛，石块之间严丝合缝，桥身曲线流畅，体现了琉球石匠高超的技艺。石拱桥的设计深受中国江南园林石拱桥的影响，同时融入了琉球本土的建筑特色，是中琉造园艺术交流的实物见证。
　　石拱桥在冲绳战役中受损，后经修复恢复原貌。如今，石拱桥与心字池、六角堂、御殿等共同构成了识名园优美的园林景观，是研究琉球皇家园林与石造建筑的重要文化遗产。"
25,建筑类,识名园,心字池,2,"　　心字池是琉球王国皇家园林识名园的核心景观，位于那霸市识名，是琉球世界遗产的组成部分。识名园始建于1799年，是琉球王国的王家离宫，心字池是园内最大的人工水体，因平面形状酷似汉字「心」而得名，是琉球造园艺术的杰作。
　　心字池利用自然地形开凿而成，池岸曲折有致，池中种植荷花，池畔种植热带与亚热带植物，四季景色各异。心字池的设计深受中国江南园林「一池三山」造园理念的影响，同时融入了琉球本土的自然景观特色，体现了琉球王国兼收并蓄的文化特质。池上建有石拱桥，池畔建有六角堂、劝耕台石碑、八角堂、御殿等建筑，共同构成了层次丰富的园林景观。
　　心字池在冲绳战役中受损，后经修复恢复原貌。心字池是研究琉球皇家园林造园艺术与中琉文化交流的重要实物资料，也是冲绳著名的历史观光景点，每年吸引大量游客前来欣赏其优美的园林景观。"
26,建筑类,识名园,御殿,3,"　　御殿是琉球王国皇家园林识名园内的主体建筑，位于那霸市识名，是琉球世界遗产的组成部分。识名园始建于1799年，是琉球王国的王家离宫，御殿是国王与王室成员在园内的起居与接待场所，也是园内规模最大的建筑。
　　御殿的建筑风格融合了中国宫殿建筑、日本书院造建筑与琉球本土建筑特色，采用木造结构，屋顶铺以琉球赤瓦，室内铺以榻榻米，设有大广间、次之间、小书院等多个房间，功能分区明确。御殿是琉球国王接待中国册封使的重要场所，册封使一行在琉球期间，国王多次在识名园御殿设宴款待，进行外交与文化交流。御殿在冲绳战役中被毁，后于1970年代依据史料与考古发掘成果复原重建。
　　御殿是研究琉球皇家建筑、宫廷礼仪与中琉外交关系的重要实物资料，其建筑风格的多元融合特征，正是琉球王国作为海洋贸易国家兼收并蓄文化特质的生动体现，具有极高的历史与建筑艺术价值。"
27,建筑类,首里城,册封七碑,9,"　　册封七碑是首里城内龙樋周边的七座石碑，是中国历代册封使在琉球留下的珍贵历史遗迹。册封使是中国皇帝派遣至琉球宣告国王即位的官方使节，明清两代共派遣册封使24次，这些册封使在琉球期间，对龙樋清澈的泉水极为赞赏，纷纷以汉诗吟咏并在石碑上留下题字，形成了著名的「册封七碑」。
　　七座石碑分别为康熙年间册封使汪楫的「中山第一泉」、徐葆光的「瑞泉」、周煌的「中山之泉」，以及其他册封使的题字石碑，是中琉册封关系的重要实物见证。这些石碑在冲绳战役中遭受破坏，几乎全部损毁，1984年的发掘调查中出土了部分残片，后依据史料记载与残片进行了复原。
　　册封七碑是研究中琉外交关系、册封制度与汉文学交流的珍贵实物资料，碑上的汉诗与题字不仅具有历史价值，也具有书法艺术价值，是首里城内最重要的历史文化遗存之一，生动见证了琉球王国与中国长达五百年的宗藩关系与文化交流。"
28,建筑类,首里城,奉神门,3,"　　奉神门是首里城正殿前方的重要宫门，是首里城核心区域的入口，也是琉球王国宫廷礼仪的重要场所。奉神门始建于尚真王时代（15世纪末至16世纪初），是一座二层建筑，下层为三门式的通道，上层为楼阁，屋顶铺以琉球赤瓦，屋脊饰有龙头雕与鬼瓦，建筑风格融合了中国宫殿建筑与琉球本土特色。
　　奉神门是首里城内最重要的礼仪之门，每天清晨开门时，会举行「御开门」仪式，由官员击鼓开门，象征王宫一天的开始。在国王即位、册封使迎接、新年朝贺等重要典礼中，奉神门是仪式队列的重要节点，国王与官员们在此门内外进行一系列的礼仪活动。奉神门在冲绳战役中被毁，1974年依据史料与考古发掘成果复原重建。
　　奉神门是研究琉球宫廷建筑与礼仪制度的重要实物资料，其建筑风格的多元融合特征与丰富的礼仪内涵，是琉球王国政治文化的生动体现，也是首里城最具代表性的建筑之一。"
29,建筑类,首里城,广福门,1,"　　广福门是首里城的重要城门之一，位于首里城的南部区域，是连接外郭与内郭的重要通道。首里城是琉球王国的王宫与政治中心，始建于14世纪末，历经多次扩建与焚毁重建，形成了以正殿为核心、多重城门与城墙环绕的完整城郭体系。
　　广福门是首里城众多城门中的一座，以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格庄重典雅。广福门在琉球王国的日常行政与宫廷生活中发挥着重要作用，是官员与侍从进出王宫核心区域的重要通道，也是宫廷礼仪队列的组成部分。广福门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　首里城的城门体系是琉球城郭建筑的重要组成部分，每座城门都有其特定的功能与礼仪意义，广福门作为其中之一，是研究琉球王宫建筑布局与宫廷生活的重要实物资料，也反映了中国宫殿建筑制度对琉球的深远影响。"
30,建筑类,首里城,欢会门,2,"　　欢会门是首里城的正门之一，位于首里城的南部，是进入首里城核心区域的第一道重要城门，也是琉球王国接待外国使节的重要礼仪之门。欢会门始建于15世纪前后，是一座二层门楼建筑，以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，屋脊饰有龙头雕，建筑风格融合了中国城门建筑与琉球本土特色。
　　欢会门的名称寓意「欢乐相会」，是琉球国王迎接中国册封使、朝鲜使节与日本使节的重要场所，使节们在此门受到琉球官员的隆重迎接，然后经由此门进入王宫。欢会门在冲绳战役中被毁，1974年依据史料与考古发掘成果复原重建。
　　欢会门是研究琉球外交礼仪与城门建筑的重要实物资料，见证了琉球王国作为海洋贸易国家与东亚各国频繁的外交往来，也是首里城最具代表性的城门建筑之一，其宏伟的造型与丰富的历史内涵，使其成为冲绳的重要历史文化象征。"
31,建筑类,首里城,继世门,1,"　　继世门是首里城的重要城门之一，位于首里城的东部区域，是首里城多重城门体系的组成部分。首里城作为琉球王国的王宫与政治中心，其城郭布局严谨，由外郭、内郭与核心宫殿区组成，各区域之间以城门与城墙分隔，形成了层次分明、防御严密的空间结构。
　　继世门是连接首里城东部各区域的重要通道，其名称「继世」寓意「世代相继」，体现了琉球王国对王权永续传承的祈愿。继世门以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格与首里城其他城门保持一致。继世门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　首里城的城门体系不仅具有军事防御功能，更具有重要的礼仪与象征意义，每座城门的名称与位置都蕴含着琉球王国的政治理念与文化内涵。继世门作为其中之一，是研究琉球王宫建筑布局、城郭防御体系与政治文化的重要实物资料，反映了中国都城规划制度对琉球的深远影响。"
32,建筑类,首里城,京之内,1,"　　京之内是首里城内的重要区域名称，位于首里城的核心宫殿区附近，是琉球王国宫廷行政与生活的重要空间。「京之内」一词在琉球方言中指「王宫内部」或「宫廷区域」，是首里城内最为核心的区域之一，分布着国王的寝宫、王妃的居所、王子与公主的住处，以及宫廷的仓库、厨房、工坊等附属设施。
　　京之内区域的建筑以木造结构为主，屋顶铺以琉球赤瓦，建筑风格融合了中国宫殿建筑、日本书院造与琉球本土特色，既有庄重的礼仪建筑，也有温馨的居住建筑，功能分区明确。京之内是琉球王国宫廷生活的核心区域，国王与王室成员在此处理日常政务、举行家庭仪式、进行文化教育活动，是琉球政治与文化的中心。京之内区域的建筑在冲绳战役中几乎全部被毁，后经考古发掘与史料研究，部分建筑得以复原。
　　京之内是研究琉球宫廷生活、王宫建筑布局与王室文化的重要考古遗址与历史空间，对于理解琉球王国的政治制度与宫廷文化具有重要价值。"
33,建筑类,首里城,久庆门,1,"　　久庆门是首里城的重要城门之一，位于首里城的西部区域，是首里城多重城门体系的组成部分。首里城作为琉球王国的王宫，其城郭布局深受中国明代都城规划制度的影响，采用多重城墙与城门环绕核心宫殿区的布局，每座城门都有其特定的功能与方位意义。
　　久庆门位于首里城的西侧，是连接王宫西部区域与外部的重要通道，其名称「久庆」寓意「长久喜庆」，体现了琉球王国对国泰民安、王室繁荣的美好祈愿。久庆门以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格与首里城整体建筑风格保持一致，庄重典雅。久庆门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　首里城的城门体系是琉球城郭建筑与宫廷礼仪的重要组成部分，每座城门不仅是交通通道与防御工事，更是政治权力与礼仪秩序的空间象征。久庆门作为其中之一，是研究琉球王宫建筑布局、城郭制度与政治文化的重要实物资料。"
